city,case rate,cases,zipcode
Sycamore Square,1236,8,0
Sylmar,5688,4687,"91340, 91342"
Tarzana,3261,1007,91356
Temple City,1775,647,91780
Temple-Beaudry,3893,1537,0
Thai Town,2742,269,0
Toluca Lake,1643,143,91602
Toluca Terrace,2297,30,91601
Toluca Woods,1776,33,0
Torrance,1219,1820,"90277, 90278, 90501, 90503, 90504, 90505"
Tujunga,2819,784,91042
University Hills,2158,74,90032
University Park,5114,1404,90007
Valley Glen,3265,980,"91401, 91405, 91606, 91607"
Valley Village,2686,664,91607
Van Nuys,4600,4287,"91401, 91403, 91406, 91411, 91423"
Venice,1366,463,90291
Vermont Knolls,4942,850,0
Vermont Square,5511,422,0
Vermont Vista,5669,2335,0
Vernon,8134,17,90058
Vernon Central,6983,3631,90058
Victoria Park,3167,266,0
View Heights,1733,64,0
Walnut,1353,413,91789
Watts,5556,2371,"90002, 90059"
Wellington Square,3357,165,0
West Adams,4144,1145,90016
West Covina,3479,3765,"91790, 91791, 91792"
West Hills,1916,777,"91304, 91307"
West Hollywood,2292,847,"90046, 90048, 90069"
West Los Angeles,1746,657,90025
West Vernon,5384,2888,0
Westchester,1155,596,90083
Westlake,4803,2851,90057
Westlake Village,574,48,"91361, 91362"
Westwood,1231,666,90609
Whittier,3526,3083,"90601, 90602, 90603, 90604, 90605"
Wholesale,7822,2826,0
Wilmington,3935,2223,90744
Wilshire Center,2890,1450,"90004, 90005, 90010, 90020"
Winnetka,3592,1860,91306
Woodland Hills,2050,1395,"91364, 91367"
Phoenix , 4780,3888,"85006"
Phoen,  5300,2400,"85007"
