code,creator,created_datetime,product_name,countries,energy_100g,fat_100g
105000417,usda-ndb-import,2017-03-09T10:28:51Z,Dieter's Herbal Tea,US,0,0
105200923,usda-ndb-import,2017-03-09T10:28:50Z,"Kidneytea, Herbal Tea",US,0,0
105200961,usda-ndb-import,2017-03-09T10:28:50Z,Bronchtea,US,0,0
111048403,usda-ndb-import,2017-03-09T09:41:13Z,100% Pure Canola Oil,US,3586,100
111301201,usda-ndb-import,2017-03-09T12:10:54Z,Original Buttery Spread,US,2690,71.43
111301263,usda-ndb-import,2017-03-09T09:49:30Z,"Buttery Spread, With Flaxseed Oil",US,2389,57.14
127534587,usda-ndb-import,2017-03-09T09:43:17Z,Lithuanian Rye Bread,US,954,2.63
1373,tacinte,2014-10-08T17:14:38Z,Spring Onions,United Kingdom,,
140000083,date-limite-app,2016-02-04T18:11:33Z,,en:PT,,
159479269,usda-ndb-import,2017-03-09T16:01:55Z,Magic Stars Chocolates,US,2330,34.7
159487776,usda-ndb-import,2017-03-09T16:01:56Z,Magic Stars Chocolates,US,2330,34.7
168175589,usda-ndb-import,2017-03-09T15:58:26Z,"Digestives Cheesecake, Lemon",US,2130,25.95
168178238,usda-ndb-import,2017-03-09T15:58:26Z,"Mini Gingerbread Men, Milk Chocolate",US,2013,20
1816,usda-ndb-import,2017-03-09T11:37:55Z,Organic Flourless Sprouted 7-Grain Bread,US,983,2.94
197571406,usda-ndb-import,2017-03-09T15:58:27Z,Puppodums,US,1159,0.3
204286484,allfitnessfactory-de,2016-12-30T12:12:46Z,Mehrkomponeneten Protein 90 C6 Haselnuß,Deutschland,1533,1
204286644,openfoodfacts-contributors,2015-01-27T17:02:50Z,Mehrkomponeneten Protein 90 C6 Schoko,Deutschland,1533,1
208066259,usda-ndb-import,2017-03-09T16:01:56Z,Black Tea,US,4,0
2220,usda-ndb-import,2017-03-09T09:43:16Z,Monterey Jack,US,1494,28.57
228000080,date-limite-app,2017-03-05T17:40:33Z,Terrine de campagne,en:FR,,
236555909,usda-ndb-import,2017-03-09T16:43:21Z,"Bakers Best, White Bread",US,983,1.47
236598784,usda-ndb-import,2017-03-09T16:43:21Z,"Bakers Best, Rye Bread",US,1071,2.56
250632969,allfitnessfactory-de,2017-01-13T07:30:12Z,Mehrkomponeneten Protein 90 C6 Banane,Deutschland,1533,1
2523,tacinte,2016-07-29T19:13:23Z,,en:GB,,
281621505,usda-ndb-import,2017-03-09T16:01:47Z,"Warner Hudson, Whisky Chocolates",US,1879,18
281756504,usda-ndb-import,2017-03-09T16:01:48Z,"Piasten, Chocolate Assortment",US,2029,26.25
2929,tacinte,2015-02-20T19:30:17Z,Flat Leaf Parsley,United Kingdom,,
30,beniben,2016-12-15T22:15:44Z,Cakes Raisins,France,1768,19
3001,date-limite-app,2016-05-25T20:48:14Z,,en:FR,,
309444901,usda-ndb-import,2017-03-09T09:33:36Z,Sweet 'N' Hot Salad Peppers,US,598,0
309512075,usda-ndb-import,2017-03-09T20:36:37Z,"Big Papa's, Southern Sauce",US,1046,0
31,beniben,2016-07-08T21:55:54Z,Cakes aux Fruits,France,1670,15
3100,openfoodfacts-contributors,2014-11-04T16:40:56Z,Chair à saucisse,France,,
360053005,usda-ndb-import,2017-03-09T10:34:44Z,"Between!, Dental Gum, Natural Cool Mint",US,837,0
360054002,usda-ndb-import,2017-03-09T14:33:51Z,"Eco-Dent, Between!, Sugar Free Dental Gum, Cinnamon",US,837,0
417011002,usda-ndb-import,2017-03-09T16:00:08Z,Knusperflakes Mit Knusprigen Cornflakes,US,2209,28
417012009,usda-ndb-import,2017-03-09T16:00:08Z,"Rum Trauben Nuss, Milk Chocolate Wih Rum Raisins & Nuts",US,2142,28
417296003,usda-ndb-import,2017-03-09T16:00:09Z,Milk Chocolate With Caramelized Almonds,US,2226,31.2
433070274,usda-ndb-import,2017-03-09T15:58:16Z,"Funsch, High Quality Marzipan",US,1929,21.4
433821494,usda-ndb-import,2017-03-10T08:18:25Z,Oatmeal Raisin Cookies,US,1552,21.43
433821500,usda-ndb-import,2017-03-10T08:18:25Z,The Best Peanut Butter Cookies,US,1703,21.43
433906023,usda-ndb-import,2017-03-09T15:25:07Z,Best Sweet-Potato Cookies,US,1623,17.65
433906030,usda-ndb-import,2017-03-09T15:25:07Z,Best Ginger Snap Cookies,US,1623,17.65
450193000,usda-ndb-import,2017-03-09T09:47:41Z,"Ice Cream, Vanilla",US,883,11.27
450193031,usda-ndb-import,2017-03-09T10:49:03Z,"Ice Cream, Butter Pecan",US,1000,15.49
460938714,allfitnessfactory-de,2016-12-30T11:39:50Z,100% Soja Protein Haselnuss,Deutschland,1590,0.5
470322800,allfitnessfactory-de,2017-01-13T10:22:12Z,Whey Protein aus Molke Vanilla,Deutschland,1644,4.6
50,openfoodfacts-contributors,2016-11-30T21:30:44Z,Financiers aux Amandes,France,1868,23
501050603,allfitnessfactory-de,2017-01-13T10:12:31Z,Whey Protein aus Molke 1000 Gramm Vanilla,Deutschland,1644,4.6
51,beniben,2016-12-01T19:59:24Z,Fondants Citron,France,1896,24
522061596,usda-ndb-import,2017-03-09T15:58:27Z,Salted Sticks & Salted Pretzels,US,1548,3.67
526938306,allfitnessfactory-de,2017-01-13T10:03:47Z,Whey Protein aus Molke 500 Gramm Vanilla,Deutschland,1644,4.6
527000057,date-limite-app,2017-04-16T04:34:57Z,Kiehls - Cream #gel,en:FR,,
539003206,usda-ndb-import,2017-03-09T16:01:48Z,"Williams, Liquor Chocolate With Williams Pear",US,1954,23
5487,openfoodfacts-contributors,2014-07-12T19:37:43Z,Sea Salt Potato Chips,United States,2243,32.14
606009841,kiliweb,2017-02-01T11:13:57Z,Beignets framboises,France,1272,
609124107,usda-ndb-import,2017-03-09T15:25:07Z,Solid Milk Chocolate,US,2318,32.14
609133703,usda-ndb-import,2017-03-09T16:10:10Z,"Madelaine Chocolate Company, Chocolate",US,2301,32.5
609231508,usda-ndb-import,2017-03-10T08:10:38Z,Milk Chocolate Rose,US,2389,33.33
609340767,usda-ndb-import,2017-03-10T08:10:38Z,Solid Dark Chocolate,US,2197,32.5
609346752,usda-ndb-import,2017-03-10T08:10:38Z,White Chocolate,US,2406,40
609406104,usda-ndb-import,2017-03-09T15:03:38Z,"The Madelaine Chocolate Company, Solid Milk Chocolate Cigars",US,2238,32.56
609407101,usda-ndb-import,2017-03-09T15:03:39Z,"Madelaine Chocolate, It's A Girl! Solid Milk Chocolate Cigars, Milk Chocolate",US,2238,32.56
609900114,usda-ndb-import,2017-03-09T14:54:10Z,"The Madelaine Chocolate Company, All Natural Dark Chocolate Gift Stick",US,2314,39.47
609941001,usda-ndb-import,2017-03-09T15:03:39Z,"The Madelaine Chocolate Company, Solid Milk Chocolate",US,2301,32.5
609941049,usda-ndb-import,2017-03-09T15:03:39Z,"The Madelaine Chocolate Company, Solid Dark Chocolate",US,2197,32.5
609941759,usda-ndb-import,2017-03-09T14:54:10Z,Solid Milk Chocolate,US,2326,33.33
609941766,usda-ndb-import,2017-03-09T14:54:10Z,"The Madelaine Chocolate Company, Solid Milk Chocolate",US,2326,33.33
609962037,usda-ndb-import,2017-03-09T15:40:00Z,"The Madelaine Chocolate Comapny, Solid Milk Chocolate",US,2314,31.58
609962044,usda-ndb-import,2017-03-09T15:40:01Z,"The Madelaine Chocolate Company, Solid Dark Chocolate",US,2201,31.58
609962082,usda-ndb-import,2017-03-10T09:56:37Z,Solid Dark Chocolate,US,2201,31.58
609965007,usda-ndb-import,2017-03-10T09:56:37Z,Milk Chocolate Malt Balls,US,2197,27.5
609983001,usda-ndb-import,2017-03-09T14:54:10Z,"The Madelaine Chocolate Company, Solid Milk Chocolate",US,2326,33.33
609983032,usda-ndb-import,2017-03-09T14:54:10Z,"The Madelaine Chocolate Company, Solid Dark Chocolate",US,2209,33.33
609989010,usda-ndb-import,2017-03-09T14:54:10Z,"The Madelaine Chocolate Company, Solid Milk Chocolate Bunnies",US,2272,31.43
609989027,usda-ndb-import,2017-03-09T15:40:00Z,"The Madelaine Chocolate Company, Solid Milk Chocolate Chicks",US,2314,31.58
